iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AAA,,,,,,
AAB,AUS_gadm36,AUS.7_1_gadm36,AUS.7.5_1_gadm36,,,
AAC,EGY_gadm36,EGY.26_1_gadm36,EGY.26.1_1_gadm36,,,
AAD,SDN_gadm36,SDN.10_1_gadm36,SDN.10.1_1_gadm36,SDN.10.1.1_1_gadm36,,
AAE,DZA_gadm36,DZA.5_1_gadm36,DZA.5.2_1_gadm36,,,
AAF,USA_gadm36,USA.10_1_gadm36,USA.10.18_1_gadm36,,,
AAG,BRA_gadm36,BRA.16_1_gadm36,BRA.16.20_1_gadm36,BRA.16.20.1_1_gadm36,,
AAH,DEU_gadm36,DEU.10_1_gadm36,DEU.10.47_1_gadm36,DEU.10.47.1_1_gadm36,DEU.10.47.1.1_1_gadm36,
AAI,BRA_gadm36,BRA.27_1_gadm36,BRA.27.16_1_gadm36,BRA.27.16.1_1_gadm36,,
AAJ,SUR_gadm36,SUR.9_1_gadm36,SUR.9.1_1_gadm36,,,
AAK,,,,,,
AAL,DNK_gadm36,DNK.3_1_gadm36,DNK.3.1_1_gadm36,,,
AAM,ZAF_gadm36,ZAF.6_1_gadm36,ZAF.6.1_1_gadm36,ZAF.6.1.1_1_gadm36,ZAF.6.1.1.28_1_gadm36,
AAN,ARE_gadm36,ARE.1_1_gadm36,ARE.1.2_1_gadm36,ARE.1.2.58_1_gadm36,,
AAO,VEN_gadm36,VEN.2_1_gadm36,VEN.2.1_1_gadm36,,,
AAP,USA_gadm36,USA.44_1_gadm36,USA.44.101_1_gadm36,,,
AAQ,RUS_gadm36,RUS.34_1_gadm36,RUS.34.3_1_gadm36,RUS.34.3.1_1_gadm36,,
AAR,DNK_gadm36,DNK.2_1_gadm36,DNK.2.18_1_gadm36,,,
AAS,IDN_gadm36,IDN.23_1_gadm36,IDN.23.29_1_gadm36,IDN.23.29.2_1_gadm36,IDN.23.29.2.1_1_gadm36,
AAT,CHN_gadm36,CHN.28_1_gadm36,CHN.28.2_1_gadm36,CHN.28.2.1_1_gadm36,,
AAU,WSM_gadm36,WSM.11_1_gadm36,WSM.11.3_1_gadm36,,,
AAV,PHL_gadm36,PHL.70_1_gadm36,PHL.70.8_1_gadm36,PHL.70.8.10_1_gadm36,,
AAW,DEU_gadm36,DEU.10_1_gadm36,DEU.10.47_1_gadm36,DEU.10.47.1_1_gadm36,DEU.10.47.1.1_1_gadm36,
AAX,BRA_gadm36,BRA.13_1_gadm36,BRA.13.43_1_gadm36,BRA.13.43.1_1_gadm36,,
AAY,YEM_gadm36,YEM.7_1_gadm36,YEM.7.1_1_gadm36,,,
AAZ,GTM_gadm36,GTM.13_1_gadm36,GTM.13.16_1_gadm36,,,
ABA,RUS_gadm36,RUS.35_1_gadm36,RUS.35.37_1_gadm36,RUS.35.37.1_1_gadm36,,
ABB,GBR_gadm36,GBR.1_1_gadm36,GBR.1.36_1_gadm36,GBR.1.36.8_1_gadm36,,
ABC,ESP_gadm36,ESP.4_1_gadm36,ESP.4.1_1_gadm36,ESP.4.1.1_1_gadm36,ESP.4.1.1.1_1_gadm36,
ABD,IRN_gadm36,IRN.15_1_gadm36,IRN.15.1_1_gadm36,,,
